2025/11/22|00:02:23|11
01|12:34:56|05:30|1850|025|2400|125.5|03500|25.2|22.8|+055|+025|+040|+020|-032|-072|-028|-065|100|095|080|12.6|11.8
02|10:55:24|03:55|0000|085|2304|150.5|03065|24.9|00.0|+043|+000|+035|+000|+000|-076|+000|-070|100|000|091|07.5|00.0
03|11:30:26|04:44|0000|086|2277|135.4|02842|25.0|00.0|+047|+000|+037|+000|+000|-083|+000|-083|100|000|090|07.5|00.0
04|11:43:02|02:26|0000|085|2319|128.7|03019|24.9|00.0|+042|+000|+037|+000|+000|-079|+000|-078|100|000|083|07.5|00.0
05|13:02:15|01:55|0000|000|2452|146.1|03191|23.4|20.5|+035|+022|+037|+036|-049|-075|-031|-070|100|096|097|07.5|07.3
06|14:07:07|00:54|0373|010|2422|121.1|02846|24.9|22.1|+029|+019|+032|+031|-036|-077|-029|-069|100|097|087|07.5|07.4
07|14:11:01|03:40|0000|076|2409|162.4|03452|24.4|00.0|+044|+000|+034|+000|+000|-082|+000|-081|100|000|094|07.5|00.0
08|14:31:51|03:34|0000|000|2487|194.3|04102|24.9|20.0|+051|+024|+033|+030|-040|-083|-034|-080|100|095|100|07.5|07.3
09|14:39:22|01:38|0000|085|2483|204.2|04626|24.9|22.4|+039|+024|+033|+031|-044|-077|-032|-073|100|097|091|07.5|07.2
10|15:04:48|01:23|4801|085|2507|243.4|05854|25.0|21.7|+036|+021|+034|+033|-022|-078|-024|-077|100|094|095|07.5|07.3
11|15:05:49|01:00|0000|011|0000|000.0|00000|20.5|00.0|+043|+000|+035|+000|+000|-069|+000|-054|100|000|000|07.4|00.0
