2025/12/06|01:00:06|18
01|12:34:56|05:30|1850|025|2400|125.5|03500|25.2|22.8|+055|+025|+040|+020|-032|-072|-028|-065|100|095|080|12.6|11.8
02|10:48:35|02:59|1822|034|2234|026.4|03451|24.9|22.4|+030|+020|+032|+031|-032|-062|-028|-060|100|100|088|11.9|11.9
03|11:10:57|04:38|2701|040|2230|025.2|03418|24.9|22.0|+030|+024|+037|+033|-031|-061|-037|-067|100|097|090|11.9|11.9
04|11:20:50|02:32|1643|033|2230|025.2|03066|24.8|22.2|+032|+025|+034|+034|-032|-053|-037|-060|100|094|089|11.9|11.9
05|11:27:22|04:16|2815|042|2231|025.6|02912|24.9|22.0|+033|+029|+034|+033|-046|-064|-044|-056|100|098|090|11.9|11.9
06|11:38:43|02:56|2018|035|2231|024.1|02957|24.6|22.0|+031|+025|+034|+033|-039|-055|-041|-059|100|098|090|11.9|11.9
07|11:52:37|04:20|2840|040|2230|025.5|03030|24.8|22.0|+032|+026|+037|+034|-043|-063|-045|-059|100|096|090|11.9|11.9
08|12:01:29|03:02|2067|037|2351|029.3|02722|24.8|22.0|+033|+032|+041|+034|-046|-059|-040|-054|100|096|095|11.9|11.9
09|12:06:26|03:03|2141|035|2351|027.6|02564|24.6|22.0|+032|+031|+037|+034|-046|-055|-042|-055|100|099|094|11.9|11.9
10|12:19:17|04:00|2840|040|2351|033.4|02570|24.8|22.0|+033|+030|+039|+034|-044|-056|-045|-055|100|096|095|11.9|11.9
11|12:26:15|03:56|2885|040|2346|031.2|02986|24.8|21.9|+033|+030|+039|+034|-040|-062|-044|-059|100|097|095|11.9|11.9
12|12:39:54|04:08|2748|042|2348|028.0|03317|24.8|21.7|+031|+028|+042|+034|-039|-057|-043|-059|100|096|096|11.9|11.8
13|12:55:20|03:32|2717|042|2349|028.7|03135|24.9|21.9|+034|+029|+044|+036|-043|-060|-043|-054|100|095|095|11.9|11.9
14|13:02:26|04:02|2927|040|2347|027.5|03507|24.8|22.0|+033|+030|+039|+035|-037|-060|-043|-063|100|096|094|11.9|11.9
15|13:10:33|03:50|2779|040|2349|026.1|03397|24.8|22.1|+035|+034|+046|+035|-045|-057|-045|-060|100|098|094|11.9|11.9
16|13:21:44|03:30|2405|038|2350|026.0|02697|24.8|22.0|+033|+032|+043|+035|-041|-059|-046|-063|100|097|094|11.9|11.8
17|13:38:03|03:56|2827|038|2356|032.3|03113|24.7|21.9|+034|+033|+045|+036|-039|-061|-044|-057|100|098|095|11.9|11.9
18|13:55:39|04:22|3112|042|2348|031.1|03377|24.9|21.9|+033|+026|+041|+036|-043|-057|-046|-058|100|096|095|11.9|11.9
